Unnamed: 0,Spanish,English
0,que,that
1,de,of
2,no,No
3,a,to
4,la,the
5,el,he
6,es,is
7,y,and
8,en,in
9,lo,it
10,un,a
11,por,by
12,qué,that
13,me,I
14,una,a
15,te,tea
16,los,the
17,se,HE
18,con,with
19,para,for
20,mi,my
21,está,this
22,si,Yeah
24,pero,but
25,yo,I
26,eso,that
27,las,the
28,sí,Yeah
29,su,his
30,tu,you
31,aquí,here
32,del,of the
33,al,to the
34,como,as
35,le,you
36,más,further
37,esto,this
38,ya,already
39,todo,all
40,esta,this
41,vamos,come on
42,muy,very
43,hay,there is
44,ahora,now
45,algo,something
46,estoy,I'm
47,tengo,I have
48,nos,us
49,tú,you
50,nada,nothing
51,cuando,when
52,ha,ha
53,este,this
54,sé,HE
55,estás,are
56,así,So
57,puedo,I can
58,cómo,as
59,quiero,wanna
60,sólo,only
61,soy,am
62,tiene,has
63,gracias,thank you
64,o,either
65,él,he
66,bueno,Well
67,fue,was
68,ser,be
69,hacer,do
70,son,are
71,todos,all
72,era,was
73,eres,are
74,vez,time
75,tienes,have
76,creo,believe
77,ella,she
78,he,He
79,ese,that
80,voy,go
81,puede,can
82,sabes,You know
83,hola,hello
84,sus,their
85,porque,because
86,dios,God
87,quién,who
88,nunca,never
89,dónde,where
90,quieres,want
91,casa,home
92,favor,favor
93,esa,that
94,dos,two
95,tan,so
96,señor,Sir
97,tiempo,time
98,verdad,TRUE
99,estaba,was
100,mejor,better
101,están,are
102,va,goes
103,hombre,man
104,usted,you
105,mucho,a lot
106,hace,does
107,entonces,so
108,siento,I feel
109,tenemos,have
110,puedes,can
111,ahí,there
112,ti,you
113,vida,life
114,ver,see
115,alguien,someone
116,sr,Mr
117,hasta,until
118,sin,without
119,mí,my
120,solo,only
121,años,years
122,sobre,about
123,decir,say
124,uno,one
125,siempre,always
126,oh,Oh
127,ir,go
128,cosas,things
129,también,also
130,antes,before
131,has,you have
132,ni,neither
133,mis,my
134,día,day
135,estar,be
136,estamos,we are
137,noche,evening
138,nadie,nobody
139,otra,other
140,quiere,wants
141,parece,seems
142,nosotros,us
143,poco,bit
144,padre,father
145,trabajo,job
146,gente,people
147,mira,look
148,vas,you go
149,sea,be
150,les,them
151,donde,where
152,mismo,same
153,hecho,made
154,ellos,they
155,dijo,said
156,pasa,happens
157,dinero,money
158,hijo,son
159,tal,such
160,otro,other
161,hablar,talk
162,seguro,sure
163,claro,clear
164,estas,are
165,lugar,place
166,mundo,world
167,amigo,friend
168,espera,wait
169,mierda,shit
170,han,they have
171,tus,your
172,sabe,knows
173,después,after
174,momento,moment
175,desde,from
176,fuera,out
177,cosa,stuff
178,tipo,guy
179,mañana,tomorrow
180,podemos,can
181,dije,said
182,gran,great
183,necesito,need
184,estado,state
185,podría,could
186,acuerdo,agreement
187,papá,dad
188,tener,have
189,dice,says
190,mío,mine
191,crees,You believe
192,buena,good
193,gusta,like
194,nuestro,our
195,nuevo,new
196,será,be
197,haciendo,doing
198,días,days
199,nombre,name
200,buen,good
201,había,there was
202,ven,come
203,tres,three
204,menos,less
205,debe,has to
206,tenía,had
207,mal,evil
208,conmigo,with me
209,madre,mother
210,hoy,today
211,quien,who
212,sido,been
213,mamá,mother
214,tienen,have
215,luego,then
216,todas,all
217,allí,over there
218,toda,all
219,hora,hour
220,mujer,women
221,visto,seen
222,haces,you do
223,importa,It matters
224,contigo,with you
225,ve,go
226,tarde,late
227,oye,hey
228,parte,part
229,haber,to have
230,hombres,men
231,problema,problem
232,mas,further
233,saber,know
234,quería,wanted to
235,aún,still
236,veces,times
237,nuestra,our
238,hacerlo,do it
239,cada,each
240,hizo,did
241,veo,I see
242,tanto,so much
243,razón,reason
244,ustedes,you
245,idea,idea
246,esos,those
247,van,go
248,quizá,Maybe
249,debo,I must
250,alguna,some
251,cierto,TRUE
252,ud,You
253,muerto,dead
254,unos,some
255,estos,these
256,salir,go out
257,policía,police
258,realmente,really
259,demasiado,too much
260,familia,family
261,pueden,they can
262,cabeza,head
263,hemos,we have
264,amigos,friends
265,cariño,dear
266,lado,side
267,allá,there
268,entre,between
269,minutos,minutes
270,digo,say
271,algún,some
272,serio,Serious
273,cuidado,careful
274,pasó,passed
275,buenas,hello good
276,somos,are
277,amor,love
278,puerta,door
279,ves,you see
280,vaya,Oh
281,ah,Ah
282,suerte,luck
283,eh,Hey
284,rápido,fast
285,cuenta,account
286,quizás,maybe
287,esas,those
288,pues,well
289,pasado,past
290,pensé,I thought
291,todavía,still
292,hermano,brother
293,debes,you must
294,casi,almost
295,forma,shape
296,aqui,here
297,chico,boy
298,ok,okay
299,dicho,saying
300,nueva,new
301,sabía,knew
302,muchas,many
303,dentro,inside
304,hice,I did
305,contra,against
306,auto,car
307,camino,path
308,ayuda,aid
309,primera,first
310,vi,saw
311,miedo,fear
312,adiós,bye
313,primero,first
314,debería,ought
315,poder,can
316,niños,children
317,sería,I would be
318,historia,history
319,hey,Hey
320,mientras,while
321,ciudad,city
322,dijiste,said
323,espero,wait
324,cuánto,how much
325,esposa,wife
326,pronto,soon
327,chicos,guys
328,cualquier,any
329,viejo,old
330,debemos,must
331,deja,leaves
332,año,year
333,muerte,death
334,hablando,talking
335,manos,hands
336,da,gives
337,loco,crazy
338,problemas,issues
339,mano,hand
340,guerra,war
341,semana,week
342,pasar,pass
343,vale,OK
344,cuál,which
345,viene,comes
346,volver,return
347,toma,take
348,caso,case
349,agua,water
350,haré,I will do
351,vete,go away
352,entiendo,I understand
353,horas,hours
354,personas,people
355,capitán,captain
356,adelante,forward
357,niño,child
358,listo,ready
359,noches,nights
360,buenos,good
361,iba,I was going
362,juntos,together
363,dame,give to me
364,único,only
365,déjame,let me
366,cerca,near
367,otros,others
368,sigue,go on
369,grande,big
370,arriba,above
371,jefe,boss
372,habla,speaks
373,supongo,i guess
374,manera,manner
375,quieren,They want
376,feliz,happy
377,significa,means
378,sangre,blood
379,fin,end
380,bajo,low
381,llama,calls
382,venir,come
383,morir,die
384,importante,important
385,hiciste,did
386,ojos,eyes
387,escucha,listen
388,entrar,get in
389,ningún,none
390,corazón,heart
391,diablos,Devils
392,necesitamos,need
393,atrás,back
394,durante,during
395,dices,You say
396,nuestros,our
397,persona,person
398,abajo,below
399,dr,Dr.
400,hija,daughter
401,dejar,leave
402,necesita,needs
403,llegar,arrive
404,hago,do
405,señora,lady
406,suficiente,enough
407,doctor,doctor
408,gustaría,would like
409,tierra,land
410,cara,expensive
411,siquiera,even
412,genial,brilliant
413,cree,Believe
414,supuesto,supposed
415,tomar,take
416,equipo,equipment
417,justo,fair
418,juego,game
419,ninguna,none
420,cinco,five
421,dicen,They say
422,amo,love
423,cuándo,when
424,pequeño,little
425,algunos,some
426,conozco,know
427,clase,class
428,maldito,damned
429,unas,nails
430,muchos,many
431,hubiera,had
432,segundo,second
433,aunque,although
434,pueda,I can
435,dime,tell me
436,igual,equal
437,comida,meal
438,ay,Oh
439,cuerpo,body
440,encontrar,find
441,fuerte,strong
442,vuelta,lap
443,venga,come on
444,creer,believe
445,realidad,reality
446,saben,They know
447,puta,bitch
448,deberías,you should
449,pregunta,ask
450,fui,I was
451,cuatro,four
452,sra,mrs
453,primer,first
454,trabajar,work
455,e,and
456,hagas,you do
457,alto,high
458,maldita,damned
459,comer,eat
460,número,number
461,dar,give
462,necesitas,you need
463,oportunidad,chance
464,punto,spot
465,misma,same
466,última,last
467,afuera,outside
468,mujeres,women
469,pensar,think
470,fueron,were
471,difícil,difficult
472,vivir,live
473,paso,passed
474,malo,bad
475,estabas,You were
476,vivo,alive
477,haga,make
478,queda,is left over
479,hijos,children
480,mayor,elderly
481,fiesta,party
482,hacen,do
483,medio,half
484,algunas,some
485,basta,Enough
486,arma,weapon
487,vino,came
488,meses,months
489,cuarto,room
490,éste,this
491,escuela,school
492,esté,this
493,dólares,Dollars
494,tío,uncle
495,posible,possible
496,tuve,I had
497,fácil,easy
498,preocupes,worry
499,luz,light
500,eran,were
501,carajo,fuck
502,final,final
503,lista,list
504,trata,treats
505,armas,weapons
506,hermana,sister
507,exactamente,exactly
508,chicas,girls
509,podía,could
510,bastante,quite
511,seguridad,security
512,pasando,going
513,esperando,expecting
514,acá,here
515,teléfono,phone
516,perro,dog
517,fuego,fire
518,murió,died
519,tampoco,neither
520,sola,alone
521,estuvo,was
522,verte,to see you
523,iré,I will go
524,tenido,had
525,culpa,blame
526,veras,you will see
527,adónde,where to
528,buscando,searching
529,cuanto,how much
530,padres,parents
